product,locale,display_name,description
monthly,en-US,Historiq Pro Monthly,Unlock the full Historiq experience
monthly,en-GB,Historiq Pro Monthly,Unlock the full Historiq experience
monthly,en-AU,Historiq Pro Monthly,Unlock the full Historiq experience
monthly,en-CA,Historiq Pro Monthly,Unlock the full Historiq experience
monthly,de-DE,Historiq Pro Monatlich,Schalte alle Historiq-Funktionen frei
monthly,fr-FR,Historiq Pro Mensuel,Débloquez l'expérience Historiq complète
monthly,fr-CA,Historiq Pro Mensuel,Débloquez l'expérience Historiq complète
monthly,nl-NL,Historiq Pro Maandelijks,Ontgrendel de volledige Historiq-ervaring
monthly,sv,Historiq Pro Månadsvis,Lås upp hela Historiq-upplevelsen
monthly,ja,Historiq Pro 月額プラン,Historiqのすべての機能をご利用いただけます
monthly,ko,Historiq Pro 월간,Historiq의 모든 기능을 자유롭게 이용하세요
monthly,ar-SA,Historiq Pro شهري,افتح تجربة Historiq الكاملة
monthly,pl,Historiq Pro Miesięczny,Odblokuj pełne doświadczenie Historiq
monthly,es-MX,Historiq Pro Mensual,Desbloquea la experiencia completa
monthly,pt-BR,Historiq Pro Mensal,Desbloqueie a experiência completa
monthly,th,Historiq Pro รายเดือน,ปลดล็อกทุกฟีเจอร์ของ Historiq
monthly,tr,Historiq Pro Aylık,Historiq'in tüm özelliklerini kullan
monthly,hi,Historiq Pro मासिक,Historiq का पूरा अनुभव अनलॉक करें
monthly,id,Historiq Pro Bulanan,Buka pengalaman Historiq yang lengkap
annual,en-US,Historiq Pro Annual,Best value – save 58% vs monthly
annual,en-GB,Historiq Pro Annual,Best value – save 58% vs monthly
annual,en-AU,Historiq Pro Annual,Best value – save 58% vs monthly
annual,en-CA,Historiq Pro Annual,Best value – save 58% vs monthly
annual,de-DE,Historiq Pro Jährlich,Bestes Angebot – 58 % gegenüber monatlich
annual,fr-FR,Historiq Pro Annuel,Meilleur prix – économisez 58 % vs mensuel
annual,fr-CA,Historiq Pro Annuel,Meilleur prix – économisez 58 % vs mensuel
annual,nl-NL,Historiq Pro Jaarlijks,Beste waarde – 58% besparen vs maandelijks
annual,sv,Historiq Pro Årsvis,Bästa värde – spara 58 % vs månadsvis
annual,ja,Historiq Pro 年額プラン,月額より58%お得な年額プラン
annual,ko,Historiq Pro 연간,월간 대비 58% 절약하는 최고의 선택
annual,ar-SA,Historiq Pro سنوي,أفضل قيمة – وفّر 58٪ مقارنةً بالشهري
annual,pl,Historiq Pro Roczny,Najlepsza wartość – oszczędź 58 % vs mies.
annual,es-MX,Historiq Pro Anual,El mejor precio – ahorra un 58 % vs mensual
annual,pt-BR,Historiq Pro Anual,Melhor custo-benefício – 58% de desconto
annual,th,Historiq Pro รายปี,คุ้มค่าที่สุด – ประหยัด 58% ต่อปี
annual,tr,Historiq Pro Yıllık,En iyi fiyat – aylığa göre %58 tasarruf
annual,hi,Historiq Pro वार्षिक,सर्वश्रेष्ठ मूल्य – 58% बचाएं
annual,id,Historiq Pro Tahunan,Nilai terbaik – hemat 58% vs bulanan
monthly,no,Historiq Pro Månedlig,Lås opp hele Historiq-opplevelsen
monthly,pt-PT,Historiq Pro Mensal,Desbloqueie a experiência completa
monthly,ro,Historiq Pro Lunar,Deblocați experiența completă Historiq
monthly,hr,Historiq Pro Mjesečno,Otključajte puno iskustvo Historiq
monthly,fi,Historiq Pro Kuukausittain,Avaa koko Historiq-kokemus
monthly,he,Historiq Pro חודשי,פתח את כל חוויית Historiq
monthly,ca,Historiq Pro Mensual,Desbloqueja l'experiència Historiq
